Rating.response,Rating.rt,EndTrial.keys,EndTrial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Pos1,Pos2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,preview
5,1.2811,space,0.0876,0,0,0,256,1,,,61b48287b543917d5f660b20,081ia9d6m4eu,2021-12-15_04h23.03.522,PRaM,2021.2.3,MacIntel,59.99880002,61b488b722e998a9f8fbfb45,1
4,0.6022,space,0.2006,0,1,1,202,1,,,61b48287b543917d5f660b20,081ia9d6m4eu,2021-12-15_04h23.03.522,PRaM,2021.2.3,MacIntel,59.99880002,61b488b722e998a9f8fbfb45,1
