arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
4490.5,23218,12352,32195.5,8361.5,8417.5,19535.5,32739,10303,3280,35815,30480.5,14940,14493
3430.5,27582.5,19305,5394.5,27230,36841,33441.5,10995.5,36768.5,31144,12459.5,19086,36774,24995
24353,3862.5,2375,22407,16256.5,18300,3841,18909.5,36666.5,6001,36638,36342,6415,31816.5
12783,27840.5,29977.5,19455.5,16712,19780.5,22001.5,24855.5,7097,35281.5,19855,22328,9533.5,4947
26125,11934,6631,26315.5,32342.5,30310.5,33916.5,25894,22560,21336.5,20830.5,25903,30348.5,24343
12339,5338,1611,27178.5,31470.5,24844,36541.5,28030.5,30742.5,19155,24839.5,26253,15671,26098
9085.5,30446,21039,4566,25847,15058,16883,5912.5,28415,21341.5,16125.5,11679.5,30244.5,19057.5
12080,28106.5,6865,31313,29969.5,34119,13764.5,28999.5,8254.5,23088,32482.5,30141,6517.5,18398.5
25599,21353.5,29073.5,13577.5,1579,7888,30775,18290.5,3455.5,10352,30079.5,24333.5,3488,26887
8581,11369.5,8822,25993.5,8982.5,4200.5,28745.5,24473,13071,7214.5,31631.5,26195.5,27588,29671.5
15955.5,36648.5,32217,32634,26167.5,23106.5,5505,31542,6767,29530.5,35501,36058,12357,5027.5
23917.5,2068,2694,11572,8341,1593,14538,18594,12558,3262,29168,18879,27035,26032
28557,19051.5,9529.5,27010.5,35493,35683.5,9045.5,26489,35853,7698,20444.5,27401,17056.5,34496
4614,6557.5,3933,35766,36186,32747,8588.5,35417,28118.5,7840,35325.5,25242.5,14694.5,18074.5
7675,27727,11352.5,35992,35435,32813,31066,35799.5,3677.5,9684,33728.5,27696,4614,32584
15054.5,27925.5,7618,31802.5,35041,36582,14317,31994.5,36828,25133.5,26170,31256,31631.5,34804
9233.5,30790.5,23304.5,2192.5,29988.5,36794,28494,6779,21095.5,29397,15899.5,14579,36619.5,31519
20787.5,21528,17348.5,25014,11236.5,28461.5,6555,25375,3318,21562,29185,26466,5238.5,5609
