session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,First Language,Language related disorders,Nationality,Sex,Student Status
620e579e8978ecd05d5df38f,60f7087bc553f03b66bfe864,APPROVED,12:00.6,29:33.5,1052.894,24,82,0,100,39:38.4,8DF1CE3F,none just my native langauge,Australia,Australia,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,none,Australia,Male,No
620e5734abfa03dbb4941534,607132b2f83c182c8800f69a,APPROVED,09:56.5,36:59.1,1622.603,20,72,0,100,46:18.5,8DF1CE3F,native language + two other languages,Canada,Canada,DATA EXPIRED,English,none,Turkey,Female,DATA EXPIRED
620e588ba5b70e55a4e802b1,5ebfe848f57bb9036deebc17,APPROVED,15:42.8,32:39.3,1016.426,58,261,3,98,36:54.2,8DF1CE3F,none just my native langauge,Canada,Canada,Part-Time,English,none,Canada,Female,No
620e58c6a4569ffe1e3890ad,5d30dfa68b1523000134878f,APPROVED,16:38.2,30:19.3,821.11,27,234,2,100,37:43.6,8DF1CE3F,none just my native langauge,Canada,Canada,Other,English,none,Canada,Male,No
620e29fea1b7030e00d9d4b8,5de16fd00e58661bb3519db8,APPROVED,57:02.5,05:27.8,505.318,24,315,0,100,25:18.3,8DF1CE3F,none just my native langauge,Canada,Canada,DATA EXPIRED,English,none,Canada,Male,DATA EXPIRED
620e5a76c305685e3bf8cad1,5df3c34082a95529ff6681ce,APPROVED,23:50.2,36:29.8,759.611,29,284,1,100,46:34.6,8DF1CE3F,none just my native langauge,Indonesia,Canada,DATA EXPIRED,English,none,Indonesia,Male,DATA EXPIRED
620e5771ed8571f1b3b21131,60e99d21ee0ee2ea2ed16e3e,APPROVED,11:12.1,20:43.5,571.44,32,76,0,100,41:47.0,8DF1CE3F,none just my native langauge,Ireland,Ireland,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,none,Ireland,Female,No
620e5e364d6d28402b3b9d11,5c66d6a50d7f5f00014b8ab0,APPROVED,40:00.1,56:29.7,989.633,36,584,2,100,57:59.8,8DF1CE3F,native language + three or more other languages,Ireland,Ireland,DATA EXPIRED,English,none,Ireland,Male,DATA EXPIRED
620e28fef6aadac3ebe2b172,6116fff061c9eafe17404447,APPROVED,52:48.5,05:29.5,760.995,30,83,0,100,14:22.3,8DF1CE3F,native language + one other language,Ireland,Ireland,DATA EXPIRED,English,none,Ireland,Female,DATA EXPIRED
620e596464ce9da8409b16a8,60b7d22eb380995e599be3bf,APPROVED,19:37.4,48:27.9,1730.51,42,53,1,100,52:05.4,8DF1CE3F,native language + two other languages,Kenya,Hungary,Unemployed (and job seeking),English,none,Kenya,Male,Yes
620e29acdb1a7fd5517cbc33,6064c2cc8fb7b80b58409526,APPROVED,55:45.4,23:20.2,1654.764,35,100,1,99,25:27.9,8DF1CE3F,none just my native langauge,Nigeria,Netherlands,Part-Time,English,none,Nigeria,Female,No
620e57aa1e05e96623cff1e3,5f5c6f045b1a1846defadb5b,APPROVED,12:17.0,34:42.0,1344.96,21,81,0,100,36:37.5,8DF1CE3F,native language + three or more other languages,South Africa,South Africa,Other,English,none,South Africa,Female,Yes
620e587d1e05e96623cff1e9,6079e689fc6b1e925ad2ee15,APPROVED,15:37.9,37:27.3,1309.412,26,20,0,100,46:04.9,8DF1CE3F,native language + three or more other languages,South Africa,South Africa,Part-Time,English,none,South Africa,Male,DATA EXPIRED
620e58809a07deebb5532ace,5f3c4766dca55eaa8bc240cc,APPROVED,15:38.2,27:56.1,737.893,20,124,0,100,40:55.7,8DF1CE3F,none just my native langauge,South Africa,South Africa,Unemployed (and job seeking),English,none,South Africa,Male,Yes
620e5884a03abcdc027668d9,6020817e6706506bebee2f8a,APPROVED,15:51.3,41:40.0,1548.768,22,97,1,100,45:10.5,8DF1CE3F,native language + three or more other languages,South Africa,South Africa,Other,English,none,South Africa,Female,Yes
620e5890279ad32627e6b60f,608f896cbb14d38fcaad330d,APPROVED,17:02.4,49:14.5,1932.131,26,45,0,100,03:22.0,8DF1CE3F,native language + one other language,South Africa,South Africa,DATA EXPIRED,English,none,South Africa,Female,No
620e59e562ca2deefa10cb03,6047d8572fe1820af85aec13,APPROVED,21:25.1,35:19.0,833.957,28,150,1,100,47:56.0,8DF1CE3F,native language + one other language,South Africa,South Africa,Part-Time,English,none,South Africa,Male,Yes
620e5a6ba0c147784226e23a,605986be77c362e33eac85c2,APPROVED,23:59.8,38:22.7,862.916,36,134,1,100,45:32.4,8DF1CE3F,native language + two other languages,South Africa,South Africa,Full-Time,English,none,South Africa,Male,No
620e5a86415841c452dd185d,5fa154fd4cbe97227182aff7,APPROVED,27:36.8,49:17.9,1301.13,30,48,0,100,58:16.4,8DF1CE3F,native language + one other language,South Africa,South Africa,Unemployed (and job seeking),English,none,South Africa,Male,No
620e28d45ae56ef54c6569c1,60a10720a63ebc59053420d1,APPROVED,52:04.6,18:26.6,1581.972,22,29,0,100,24:16.5,8DF1CE3F,native language + one other language,South Africa,South Africa,Full-Time,English,none,South Africa,Female,No
620e2959488449db813a9fe2,6014d61cac1f2b53cf63d8a5,APPROVED,54:23.0,12:03.6,1060.556,41,85,1,100,15:00.9,8DF1CE3F,native language + one other language,South Africa,South Africa,Full-Time,English,none,South Africa,Female,No
620e56b990ab3867e4edf119,5fb91830578cc16fd8c3e009,APPROVED,07:53.8,27:55.8,1202.056,51,250,3,99,40:25.3,8DF1CE3F,none just my native langauge,United Kingdom,Spain,Full-Time,English,none,United Kingdom,Female,No
