arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
0.351190476190476,0.615740740740741,0.294372294372294,0.345622119815668,0.371681415929204,0.721153846153846,0.80952380952381,0.361344537815126,0.509028092572748,0.573840181004011,0.506575774127327,0.450171753114384,0.892683823238055,0.556221911083453
0.720238095238095,0.592592592592593,0.238095238095238,0.0829493087557605,0.0796460176991151,0.740384615384615,1,0.168067226890756,0.273215779930783,0.9993844143387,0.522593687421872,0.756518260666726,0.132557465398685,0.406655917716841
0.476190476190476,0.796296296296296,0.787878787878788,0.0506912442396314,0.0486725663716815,0.177884615384615,0.461904761904762,0.00420168067226889,0.0772788651129476,0.842772910789006,0.308278972938823,0.728390890282047,0.810130381875651,1
0.321428571428572,0.87962962962963,0.961038961038961,0.00460829493087567,0.0398230088495576,0.0528846153846154,0.271428571428571,0.00840336134453779,0.371943894360222,0.703917762096092,0.65395803216391,0.926096099997044,0.516345761719813,0.603745588522361
0.446428571428571,0.833333333333333,0.948051948051948,0.0230414746543779,0.0265486725663717,0.0817307692307693,0.347619047619048,0.042016806722689,0.513807281346574,0.696437360028072,0.644313028986124,0.66439326894594,0.959380448420078,0.575648922079858
0.470238095238095,0.842592592592593,0.965367965367965,0.0138248847926268,0.0265486725663717,0.00961538461538464,0.128571428571428,0.00840336134453779,0.914081039316928,0.790269853426585,0.47755782854973,0.756344186470475,0.777866962343005,0.680409248633678
0.630952380952381,0.824074074074074,0.766233766233766,0.0829493087557605,0.0796460176991151,0.0144230769230769,0.142857142857143,0.0798319327731092,0.81711237861083,0.654754133390303,0.454138161920554,0.694074846797176,1,0.217733442451881
1,0.921296296296296,0.865800865800866,0.0138248847926268,5.55111512312578e-17,0.0865384615384616,0.476190476190476,0.0210084033613446,0.800994111008262,0.941467969270969,0.695837081372141,0.4640004558289,0.899648901081299,0.484116103659851
0.654761904761905,0.981481481481482,1,1.11022302462516e-16,5.55111512312578e-17,0,0.209523809523809,0,0.540385137388173,0.975569190700128,0.333629546110869,0.659074011818196,0.471879445784238,0.476469749631071
0.702380952380953,1,0.917748917748918,0.00921658986175122,0.123893805309735,0.0432692307692307,0.209523809523809,0.00420168067226889,0.641771208732525,1,0.908428846139397,0.898125222008219,0.4103675071551,0.423167151424964
