StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Prolific ID ,1_Happy_1,1_Anger _1,1_Sad _1,1_Fear_1,1_Surprise_1,1_Disgust_1,2_Happy_1,2_Anger _1,2_Sad _1,2_Fear_1,2_Surprise_1,2_Disgust_1,3_Happy_1,3_Anger _1,3_Sad _1,3_Fear_1,3_Surprise_1,3_Disgust_1,4_Happy_1,4_Anger _1,4_Sad _1,4_Fear_1,4_Surprise_1,4_Disgust_1,5_Happy_1,5_Anger _1,5_Sad _1,5_Fear_1,5_Surprise_1,5_Disgust_1,6_Happy_1,6_Anger _1,6_Sad _1,6_Fear_1,6_Surprise_1,6_Disgust_1,7_Happy_1,7_Anger _1,7_Sad _1,7_Fear_1,7_Surprise_1,7_Disgust_1,8_Happy_1,8_Anger _1,8_Sad _1,8_Fear_1,8_Surprise_1,8_Disgust_1,9_Happy_1,9_Anger _1,9_Sad _1,9_Fear_1,9_Surprise_1,9_Disgust_1,10_Happy_1,10_Anger _1,10_Sad _1,10_Fear_1,10_Surprise_1,10_Disgust_1,11_Happy_1,11_Anger _1,11_Sad _1,11_Fear_1,11_Surprise_1,11_Disgust_1,12_Happy_1,12_Anger _1,12_Sad _1,12_Fear_1,12_Surprise_1,12_Disgust_1,13_Happy_1,13_Anger _1,13_Sad _1,13_Fear_1,13_Surprise_1,13_Disgust_1,14_Happy_1,14_Anger _1,14_Sad _1,14_Fear_1,14_Surprise_1,14_Disgust_1,15_Happy_1,15_Anger _1,15_Sad _1,15_Fear_1,15_Surprise_1,15_Disgust_1,16_Happy_1,16_Anger _1,16_Sad _1,16_Fear_1,16_Surprise_1,16_Disgust_1,17_Happy_1,17_Anger _1,17_Sad _1,17_Fear_1,17_Surprise_1,17_Disgust_1,18_Happy_1,18_Anger _1,18_Sad _1,18_Fear_1,18_Surprise_1,18_Disgust_1,19_Happy_1,19_Anger _1,19_Sad _1,19_Fear_1,19_Surprise_1,19_Disgust_1,20_Happy_1,20_Anger _1,20_Sad _1,20_Fear_1,20_Surprise_1,20_Disgust_1,21_Happy_1,21_Anger _1,21_Sad _1,21_Fear_1,21_Surprise_1,21_Disgust_1,22_Happy_1,22_Anger _1,22_Sad _1,22_Fear_1,22_Surprise_1,22_Disgust_1,23_Happy_1,23_Anger _1,23_Sad _1,23_Fear_1,23_Surprise_1,23_Disgust_1,24_Happy_1,24_Anger _1,24_Sad _1,24_Fear_1,24_Surprise_1,24_Disgust_1,25_Happy_1,25_Anger _1,25_Sad _1,25_Fear_1,25_Surprise_1,25_Disgust_1,26_Happy_1,26_Anger _1,26_Sad _1,26_Fear_1,26_Surprise_1,26_Disgust_1,27_Happy_1,27_Anger _1,27_Sad _1,27_Fear_1,27_Surprise_1,27_Disgust_1,28_Happy_1,28_Anger _1,28_Sad _1,28_Fear_1,28_Surprise_1,28_Disgust_1,PROLIFIC_PID
2022/2/17 03:55,2022/2/17 04:23,IP Address,100,1649,TRUE,2022/2/17 04:23,R_6zHzappK8VhJWJr,anonymous,EN,,I agree,6064c2cc8fb7b80b58409526,7,1,1,3,9,1,9,1,1,1,1,1,1,9,1,1,1,1,1,9,1,1,1,1,7,1,1,1,1,1,6,1,1,1,1,1,1,2,1,9,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,3,6,1,1,1,1,6,1,1,1,7,1,6,1,7,2,9,1,1,1,8,1,1,9,1,1,1,7,1,1,1,1,9,1,1,9,1,2,1,5,1,1,2,9,2,1,1,9,1,1,1,1,1,9,1,1,1,2,1,1,1,1,9,1,1,9,1,1,2,4,1,1,6,1,1,1,1,1,1,1,6,9,1,1,1,1,1,2,1,1,1,9,1,1,1,1,1,9,7,1,1,1,1,1,7,9,1,9,9,9,9,9,9,6064c2cc8fb7b80b58409526
2022/2/17 07:11,2022/2/17 07:20,IP Address,100,565,TRUE,2022/2/17 07:20,R_1luyPem40M0WKFv,anonymous,EN,,I agree,60e99d21ee0ee2ea2ed16e3e,5,1,1,1,5,1,9,1,1,1,1,1,1,9,1,2,1,2,1,7,1,2,1,3,9,1,1,1,1,1,8,1,1,1,1,1,1,2,1,3,1,2,5,1,1,3,3,1,5,1,1,1,2,1,1,2,7,6,1,2,1,6,2,2,2,9,1,2,2,6,1,9,1,1,3,6,3,2,9,1,1,1,2,1,1,1,2,9,2,2,9,1,1,1,2,1,1,1,9,5,1,1,9,1,1,1,1,1,8,1,1,1,1,1,1,2,3,9,8,1,9,1,1,1,1,1,9,1,1,1,1,1,1,1,2,2,5,2,8,1,1,2,2,1,1,1,9,1,1,1,1,1,9,5,2,1,1,1,1,9,9,1,9,9,9,9,9,9,60e99d21ee0ee2ea2ed16e3e
2022/2/17 07:08,2022/2/17 07:24,IP Address,100,1002,TRUE,2022/2/17 07:24,R_3L7tWs388AZ4f9x,anonymous,EN,,I agree,61216e010f1e31186e270602,9,1,1,1,8,1,9,1,1,1,8,1,1,9,1,1,6,3,1,9,1,1,1,9,9,1,1,1,1,1,9,1,1,1,1,1,1,1,1,8,6,1,9,1,1,1,5,5,9,1,5,1,8,1,1,9,9,1,1,4,1,9,6,6,6,9,1,1,1,7,1,9,1,1,9,9,8,1,9,1,1,1,5,1,1,1,7,9,9,1,9,1,1,1,9,1,1,9,9,1,1,1,9,1,1,1,5,1,9,1,1,1,1,1,1,1,9,9,8,1,9,1,1,1,3,1,9,1,1,1,1,1,7,6,7,8,9,7,9,1,1,1,6,1,1,1,9,1,1,1,1,1,9,1,1,1,8,1,5,8,9,5,9,9,9,9,9,9,61216e010f1e31186e270602
2022/2/17 07:15,2022/2/17 07:27,IP Address,100,730,TRUE,2022/2/17 07:27,R_2SHmiT1SIz4AIgx,anonymous,EN,,I agree,5f3c4766dca55eaa8bc240cc,7,1,1,1,6,1,6,1,1,1,1,1,1,9,2,6,1,8,1,6,3,6,2,7,7,1,1,1,1,1,8,1,1,2,1,1,1,1,3,7,9,2,5,1,1,2,6,1,6,1,1,3,6,1,1,3,6,4,2,4,1,7,4,4,3,8,1,4,4,3,2,9,1,2,4,6,2,1,7,1,1,4,6,1,1,1,3,9,9,2,9,1,1,1,2,1,1,2,7,8,4,1,9,1,1,1,2,1,7,1,1,1,1,1,1,1,3,9,7,2,9,1,1,1,2,1,9,1,1,1,2,1,2,1,3,7,7,3,8,1,1,1,2,1,1,1,7,6,4,1,1,4,9,6,2,4,1,1,2,9,9,3,9,9,9,9,9,9,5f3c4766dca55eaa8bc240cc
2022/2/17 07:07,2022/2/17 07:27,IP Address,100,1195,TRUE,2022/2/17 07:27,R_3NF1O51JVMYDcxI,anonymous,EN,,I agree,5fb91830578cc16fd8c3e009,7,1,1,1,4,1,7,1,2,3,4,1,1,8,4,4,2,6,1,9,1,2,1,6,9,1,1,1,3,1,3,2,6,4,4,1,1,2,5,6,5,1,2,1,1,1,6,1,5,3,1,2,3,1,1,6,9,6,2,6,1,6,6,4,1,9,1,6,5,6,1,9,1,2,1,6,3,1,8,2,1,3,6,1,1,4,4,9,5,2,6,2,1,2,4,1,1,1,8,5,1,1,9,2,1,3,3,1,7,1,2,3,3,1,1,5,3,8,4,2,6,2,3,2,4,1,6,2,1,3,3,1,1,2,1,6,7,1,5,3,1,3,1,1,1,3,9,6,1,3,1,1,9,6,1,1,6,1,1,6,8,4,9,9,9,9,9,9,5fb91830578cc16fd8c3e009
2022/2/17 07:12,2022/2/17 07:29,IP Address,100,1042,TRUE,2022/2/17 07:29,R_3lVqAwiPDfRZOjl,anonymous,EN,,I agree,60f7087bc553f03b66bfe864,9,1,1,1,6,1,9,1,1,1,8,1,1,9,1,1,1,6,1,6,1,1,1,7,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,7,7,1,1,1,1,6,1,1,1,6,1,7,1,1,1,9,1,1,7,8,5,1,7,1,1,1,8,1,1,1,1,9,1,1,9,1,1,1,1,1,1,1,9,7,1,1,9,1,1,1,1,1,9,1,1,1,1,1,1,1,1,8,1,1,9,1,1,1,6,1,9,1,1,1,6,1,1,1,6,7,7,1,8,1,1,1,1,1,1,1,9,1,1,1,1,1,9,1,1,1,1,1,1,1,9,1,9,9,9,9,9,9,60f7087bc553f03b66bfe864
2022/2/17 07:20,2022/2/17 07:29,IP Address,100,557,TRUE,2022/2/17 07:29,R_2zBBDUxgHVuZZPU,anonymous,EN,,I agree,6055a820cdde5706e4456ed8,3,1,5,2,7,1,9,1,1,2,7,1,1,9,7,5,3,3,1,7,5,1,1,7,7,1,3,4,3,2,7,2,5,3,3,2,1,1,5,8,5,1,6,1,5,5,8,1,9,1,5,5,7,5,1,7,7,5,1,7,1,7,5,7,1,7,1,5,6,8,3,9,1,4,8,6,2,7,9,1,1,5,6,1,1,6,7,8,6,6,9,1,5,1,5,1,1,2,9,7,1,2,9,1,1,1,8,1,9,1,1,5,5,1,1,1,7,8,1,1,9,1,1,1,5,1,7,1,1,5,5,1,5,5,5,8,5,5,9,1,1,1,8,1,1,1,8,1,1,1,1,1,5,5,1,1,1,1,5,5,9,1,1,1,1,1,1,1,6055a820cdde5706e4456ed8
2022/2/17 07:22,2022/2/17 07:30,IP Address,100,481,TRUE,2022/2/17 07:30,R_3LgQ5iWmryaYOjp,anonymous,EN,,I agree,5d30dfa68b1523000134878f,7,4,1,6,9,1,9,1,1,2,4,1,1,9,2,1,1,6,1,8,3,7,1,8,8,1,1,3,7,1,9,1,6,3,1,3,1,8,4,3,3,3,2,6,2,2,6,1,3,6,7,5,8,6,1,7,8,8,1,9,1,8,6,6,2,9,1,8,1,8,1,9,1,6,7,7,7,8,9,1,1,6,9,1,1,1,4,8,7,8,8,1,2,4,7,1,1,6,9,9,1,6,9,1,1,1,9,1,9,1,1,1,1,1,1,6,7,7,4,6,8,1,2,8,7,1,8,6,3,1,3,1,3,1,7,8,9,6,7,1,1,3,6,2,1,2,8,8,2,2,1,3,9,8,1,4,1,1,1,7,9,6,9,9,9,9,9,9,5d30dfa68b1523000134878f
2022/2/17 07:15,2022/2/17 07:32,IP Address,100,1009,TRUE,2022/2/17 07:32,R_1eVHoc0ikBEGeX4,anonymous,EN,,I agree,5ebfe848f57bb9036deebc17,7,2,2,3,4,1,8,1,1,3,4,1,1,8,6,4,1,7,1,8,6,4,3,6,7,2,2,3,6,1,7,2,2,6,6,2,2,8,3,6,6,6,3,4,2,4,7,3,7,1,2,3,5,1,1,7,8,6,3,7,1,7,8,6,3,7,1,7,6,6,4,9,2,3,6,6,6,3,6,1,2,2,6,1,1,7,3,8,8,6,7,2,2,3,6,1,1,6,8,7,2,4,8,1,1,2,6,1,7,1,2,2,6,1,1,3,3,7,6,2,7,1,2,2,6,1,7,1,2,2,4,1,2,6,3,7,8,6,6,2,2,3,4,1,1,6,6,7,3,3,1,4,9,6,4,8,5,2,1,6,8,2,9,9,9,9,9,9,5ebfe848f57bb9036deebc17
2022/2/17 07:12,2022/2/17 07:34,IP Address,100,1331,TRUE,2022/2/17 07:34,R_1EcvWCFgVmoimDu,anonymous,EN,,I agree,5f5c6f045b1a1846defadb5b,5,1,1,1,5,1,8,1,1,1,6,1,1,8,1,1,1,1,1,7,3,1,1,8,9,1,1,3,5,2,7,1,1,3,1,1,1,8,2,5,2,3,2,7,1,2,7,2,1,1,1,1,6,1,1,6,8,5,4,5,1,7,1,1,1,9,1,1,1,1,1,9,1,5,2,6,4,3,9,1,1,1,9,1,1,1,6,9,1,2,6,2,2,3,2,2,2,6,8,3,2,2,8,1,1,1,1,1,7,1,2,1,3,1,1,6,7,7,3,3,9,1,1,1,7,1,8,1,1,1,6,1,1,1,1,1,8,1,6,1,1,2,8,1,1,1,9,7,1,2,1,3,7,3,3,2,1,1,1,6,9,1,9,9,9,9,9,9,5f5c6f045b1a1846defadb5b
